Country,PIN,Community,State,State_ID,District,District_ID,City,Lat,Lng,Loc_accuracy,District_1
IN,382016,(Gandhinagar) Sector 16,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382016,(Gandhinagar) Sector 17,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382021,(Gandhinagar) Sector 19,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382021,(Gandhinagar) Sector 21,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382021,(Gandhinagar) Sector 22,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382024,(Gandhinagar) Sector 23,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382024,(Gandhinagar) Sector 24,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382028,(Gandhinagar) Sector 28,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382030,(Gandhinagar) Sector 29,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382030,(Gandhinagar) Sector 30,Gujarat,9,Gandhinagar,473,Gandhinagar,23.0976,72.8913,1,Gandhi Nagar
IN,382006,(Gandhinagar) Sector 6,Gujarat,9,Gandhinagar,473,Gandhinagar,23.1505,72.6399,1,Gandhi Nagar
IN,382007,(Gandhinagar) Sector 7,Gujarat,9,Gandhinagar,473,Gandhinagar,23.1505,72.6399,3,Gandhi Nagar
IN,382007,(Gandhinagar) Sector 8,Gujarat,9,Gandhinagar,473,Gandhinagar,23.1505,72.6399,3,Gandhi Nagar
IN,382007,(Gandhinagar) Sector 9,Gujarat,9,Gandhinagar,473,Gandhinagar,23.1505,72.6399,3,Gandhi Nagar
IN,335061,1 Ps,Rajasthan,24,Ganganagar,99,Padampur,29.3765,74.476,3,Ganganagar
IN,335707,1 Sm,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335707,10 Kd,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganganagar
IN,335001,10 Z,Rajasthan,24,Ganganagar,99,Sriganganagar,29.7491,74.3132,3,Ganganagar
IN,335039,10TK,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335001,11 Z,Rajasthan,24,Ganganagar,99,Sriganganagar,29.7491,74.3132,3,Ganganagar
IN,335051,11ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.3379,73.5209,3,Ganganagar
IN,335704,12 Gb,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,335711,12 H,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335707,12 Knd,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganganagar
IN,335707,12 MLD,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335001,12z,Rajasthan,24,Ganganagar,99,NA,29.7491,74.3132,3,Ganganagar
IN,335707,13 Dol,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335711,13 M D,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335040,13ff,Rajasthan,24,Ganganagar,99,Padampur,26.3209,74.735,3,Ganganagar
IN,335073,14 S Majhiwala,Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,335040,14ff,Rajasthan,24,Ganganagar,99,Padampur,26.3209,74.735,3,Ganganagar
IN,282001,15 Btn PAC Agra,Uttar Pradesh,36,Agra,146,NA,27.3869,78.4798,3,Agra
IN,335024,15 Ff,Rajasthan,24,Ganganagar,99,Gajsinghpur,29.7739,73.8479,3,Ganganagar
IN,335524,15 Kwd,Rajasthan,24,Hanumangarh,100,Rawatsar,28.9691,74.2362,3,Hardoi
IN,335073,15 'o',Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,641652,15 Velampalayam,Tamil Nadu,25,Coimbatore,632,Tiruppur,11.1657,77.3712,1,Coimbatore
IN,335001,15 Z,Rajasthan,24,Ganganagar,99,Sriganganagar,29.7491,74.3132,3,Ganganagar
IN,335703,15blda,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335703,15lm,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335041,16BB,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335039,16ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335704,17 Gb,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,334023,17 K.Y.D.,Rajasthan,24,Bikaner,101,Bikaner,28.4499,73.4782,1,Bikaner
IN,335027,19 F,Rajasthan,24,Ganganagar,99,Kesrisinghpur,29.597,73.9423,3,Ganganagar
IN,335704,19 Gb,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,624614,19 Pudur,Tamil Nadu,25,Dindigul,612,Dindigul,10.488,77.8627,3,Dindigul
IN,335024,19 Rb,Rajasthan,24,Ganganagar,99,Gajsinghpur,29.7739,73.8479,3,Ganganagar
IN,335038,19 Z,Rajasthan,24,Ganganagar,99,Sriganganagar,30.0237,73.7378,3,Ganganagar
IN,335039,19ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335701,1lsm9(Bada Colony),Rajasthan,24,Ganganagar,99,Anupgarh,25.687,75.5395,3,Ganganagar
IN,335024,2 Ffa,Rajasthan,24,Ganganagar,99,Gajsinghpur,29.7739,73.8479,3,Ganganagar
IN,335707,2 Gmb,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335711,2 K M,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,334023,2 K.L.D.,Rajasthan,24,Bikaner,101,Bikaner,28.4499,73.4782,1,Bikaner
IN,335707,2 Kld,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganganagar
IN,335707,2 Kma,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,787032,2 No Bokanala,Assam,3,Lakhimpur,307,Lakhimpur,26.7544,93.5272,3,Lakhimpur
IN,335027,2 V,Rajasthan,24,Ganganagar,99,Srikaranpur,29.597,73.9423,3,Ganganagar
IN,335707,22 Rjd,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335051,22ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.3379,73.5209,3,Ganganagar
IN,335024,23 Ff,Rajasthan,24,Hanumangarh,100,Gajsinghpur,29.7739,73.8479,3,Hanumangarh
IN,335038,23 Z,Rajasthan,24,Ganganagar,99,Sriganganagar,30.0237,73.7378,3,Ganganagar
IN,335041,23bb,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335704,25 Gb,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,229001,25th PAC,Uttar Pradesh,36,Raebareli,158,Rae Bareli,26.1169,81.5157,3,Raebareli
IN,335802,26 J.R.K.,Rajasthan,24,Hanumangarh,100,Pilibanga,29.6297,74.0534,3,Hardoi
IN,261001,27 Bn. P.A.C.,Uttar Pradesh,36,Sitapur,154,Sitapur,27.5064,80.6436,3,Sitapur
IN,335041,29bb,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335703,2a,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,741402,2no.Natunfulia,West Bengal,28,Nadia,336,Santipur,23.6202,88.289,3,Nadia
IN,335041,2rb,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335038,3 C Chotti,Rajasthan,24,Ganganagar,99,Srigaganagar,30.0237,73.7378,3,Ganganagar
IN,462031,3 EME Centre,Madhya Pradesh,35,Bhopal,444,Huzur,23.2519,77.8742,1,Bhopal
IN,335705,3 F D M,Rajasthan,24,Ganganagar,99,Suratgarh,29.3754,73.7447,3,Ganganagar
IN,786171,3 No Borbil,Assam,3,Tinsukia,309,Margherita,27.4158,95.2775,3,Tinsukia
IN,335073,3 'o',Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,335001,3 Y,Rajasthan,24,Ganganagar,99,Sriganganagar,29.7491,74.3132,3,Ganganagar
IN,263153,31 Bn PAC Rudarpur,Uttarakhand,39,Udham Singh Nagar,67,Kichha,28.9891,79.3586,3,Udham Singh Nagar
IN,335039,31ml,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335024,32 Bb,Rajasthan,24,Ganganagar,99,Gajsinghpur,29.7739,73.8479,3,Ganganagar
IN,226023,32 Bn PAC,Uttar Pradesh,36,Lucknow,157,Lucknow,26.8717,81.0729,1,Lucknow
IN,284135,33 Bn. Pac Jhansi,Uttar Pradesh,36,Jhansi,166,Jhansi,25.393,78.5556,3,Jharsuguda
IN,335024,35 Bb,Rajasthan,24,Ganganagar,99,Gajsinghpura,29.7739,73.8479,3,Ganganagar
IN,221002,39 Gtd,Uttar Pradesh,36,Varanasi,197,Varanasi,25.4584,82.8226,1,Varanasi
IN,335021,39 Ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,28.236,75.7638,3,Ganganagar
IN,335039,3mk,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335703,3nd,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335704,4 Bld,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,335524,4 Cym,Rajasthan,24,Hanumangarh,100,Rawatsar,28.9691,74.2362,3,Hardoi
IN,335524,4 Dwm,Rajasthan,24,Hanumangarh,100,Rawatsar,28.9691,74.2362,3,Hardoi
IN,335024,4 Jj,Rajasthan,24,Ganganagar,99,Gajsinghpur,29.7739,73.8479,3,Ganganagar
IN,335704,40 Gb,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,335040,40ff,Rajasthan,24,Ganganagar,99,Padampur,26.3209,74.735,3,Ganganagar
IN,335021,41 Ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,28.236,75.7638,3,Ganganagar
IN,335041,41RB,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335704,42 Gb,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,335073,42 H,Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,335073,47 F,Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,335703,48gba,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335707,4kpd,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335041,4nn,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335704,5 As,Rajasthan,24,Ganganagar,99,Sribijaynagar,29.1545,73.5956,3,Ganganagar
IN,335707,5 Psd,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,416236,5 Star MIDC Kagal,Maharashtra,16,Kolhapur,530,Kagal,18.5854,76.2069,1,Kolhapur
IN,110010,505 A B Workshop,Delhi,7,South West Delhi,97,NA,28.7552,77.1485,3,South West Delhi
IN,282001,509 Command,Uttar Pradesh,36,Agra,146,NA,27.3869,78.4798,3,Agra
IN,335040,50gg,Rajasthan,24,Ganganagar,99,Padampur,26.3209,74.735,3,Ganganagar
IN,335703,51gb,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335061,54 Lnp,Rajasthan,24,Ganganagar,99,Padampur,29.3765,74.476,3,Ganganagar
IN,335024,56 F,Rajasthan,24,Ganganagar,99,Gajsinghpur,29.7739,73.8479,3,Ganganagar
IN,335041,5eeea,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335041,5nn,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335039,5tk,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335711,6 D D,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335702,6 Gb,Rajasthan,24,Ganganagar,99,Sribijenagar,27.6594,75.3434,3,Ganganagar
IN,335073,6 'o',Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,335073,61 F,Rajasthan,24,Ganganagar,99,Srikaranpur,29.2718,74.277,1,Ganganagar
IN,334023,61 Head,Rajasthan,24,Bikaner,101,Khajuwala,28.4499,73.4782,1,Bikaner
IN,335703,61gb,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,641663,63 Velampalayam,Tamil Nadu,25,Coimbatore,632,Palladam,11.0724,77.198,3,Coimbatore
IN,335703,65gb,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335051,67rb,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.3379,73.5209,3,Ganganagar
IN,335051,68np,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.3379,73.5209,3,Ganganagar
IN,335061,69 Lnp,Rajasthan,24,Ganganagar,99,Padampur,29.3765,74.476,3,Ganganagar
IN,335041,6cc,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,335039,6tk,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.4667,73.6309,3,Ganganagar
IN,335512,6UTS,Rajasthan,24,Hanumangarh,100,Hanumangarh Jn.,28.4738,75.5476,3,Hardoi
IN,335711,7 GD,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335707,7 Knd,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335702,7 Lc,Rajasthan,24,Ganganagar,99,Sribijeynagar,27.6594,75.3434,3,Ganganagar
IN,335707,7 Mld,Rajasthan,24,Ganganagar,99,Gharsana,28.4771,74.1443,1,Ganjam
IN,335703,70gb,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335051,71rb,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.3379,73.5209,3,Ganganagar
IN,335703,72gb,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335703,74gb,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335701,78 Gb,Rajasthan,24,Ganganagar,99,Anupgarh,25.687,75.5395,3,Ganganagar
IN,734301,7th Mile Kalimpong,West Bengal,28,Kalimpong,702,Kalimpong,27.0277,88.5003,3,Kamrup
IN,335705,8 SHPD,Rajasthan,24,Ganganagar,99,Suratgarh,29.3754,73.7447,3,Ganganagar
IN,637403,85 R.Komarapalayam,Tamil Nadu,25,Namakkal,609,Rasipuram,11.4232,78.1427,3,Namakkal
IN,335041,8nn,Rajasthan,24,Ganganagar,99,Padampur,29.6786,73.7069,3,Ganganagar
IN,411014,9 DRD,Maharashtra,16,Pune,521,Pune City,18.5685,73.9158,3,Pune
IN,335025,9 Ml,Rajasthan,24,Ganganagar,99,Sadulsahar,29.7142,73.8832,3,Ganganagar
IN,335701,90 Gb,Rajasthan,24,Ganganagar,99,Anupgarh,25.687,75.5395,3,Ganganagar
IN,335703,9lm,Rajasthan,24,Ganganagar,99,Sribijeynagar,28.4771,74.1443,1,Ganganagar
IN,335051,9ps,Rajasthan,24,Ganganagar,99,Raisinghnagar,29.3379,73.5209,3,Ganganagar
IN,242001,A C Factory,Uttar Pradesh,36,Shahjahanpur,152,Shahjahanpur,27.8446,79.7773,3,Shahjahanpur
IN,303329,A C Jobner,Rajasthan,24,Jaipur,110,NA,26.7169,76.0256,1,Jaipur
IN,753012,A D Market,Odisha,21,Cuttack,381,Cuttack Sadar,20.461,85.8695,1,Cuttack
IN,110010,A F Palam,Delhi,7,South West Delhi,97,NA,28.7552,77.1485,3,South West Delhi
IN,110038,A F Rajokari,Delhi,7,South West Delhi,97,NA,28.7192,77.1505,1,South West Delhi
IN,522102,A F Station,Andhra Pradesh,2,Guntur,548,Bapatla,16.0329,80.4233,1,Guntur
IN,560063,A F Station Yelahanka,Karnataka,19,Bengaluru,583,Bangalore North,12.9881,77.5052,1,Bengaluru
IN,751001,A G,Odisha,21,Khordha,386,Bhubaneswar,20.6966,84.974,1,Khorda
IN,283151,A G M Bhawali,Uttar Pradesh,36,Firozabad,147,Shikohabad,27.0909,78.8605,3,Firozabad
IN,400029,A I Staff Colony,Maharashtra,16,Mumbai,519,Mumbai,18.986,72.8259,1,Mumbai
IN,606905,A K Padavedu,Tamil Nadu,25,Tiruvannamalai,606,Polur,12.3337,78.981,3,Tiruvannamalai
IN,190015,A K Pora,Jammu & Kashmir,12,Srinagar,10,A K Pora,34.14,74.7964,1,Srinagar
IN,632011,A Kattupadi,Tamil Nadu,25,Vellore,605,Vlr,13.0318,79.2586,1,Vellore
IN,531022,A Koduru,Andhra Pradesh,2,Visakhapatnam,544,Chodavaram,17.8571,83.0076,3,Visakhapatnam
IN,531022,A Kothapalle,Andhra Pradesh,2,Visakhapatnam,544,Chodavaram,17.8571,83.0076,3,Visakhapatnam
