SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
182D230323,TB,96.9,97.2,96.9,97.2,97.2,96,2100,203550,24-Nov-22,3,IN002022Y260
20MICRONS,EQ,90.1,92.4,90.1,91.3,91,89.85,81087,7403534.6,24-Nov-22,2653,INE144J01027
21STCENMGM,EQ,21.8,22.4,21.8,22.4,22.4,22,3152,69935.9,24-Nov-22,37,INE253B01015
364D070923,TB,94.6,94.6,94.6,94.6,94.6,94.5,400,37840,24-Nov-22,1,IN002022Z234
364D161123,TB,92,93.3,92,93.3,93.3,93.5,4000,369150,24-Nov-22,7,IN002022Z333
364D170823,TB,94,94.05,94,94,94,93.45,3600,338405,24-Nov-22,5,IN002022Z200
3IINFOLTD,EQ,42.7,43.2,42,42.1,42.2,42.5,343236,14556201.1,24-Nov-22,2830,INE748C01038
3MINDIA,EQ,23600,23738.45,23001,23168.15,23100,23738.55,2662,62130144.8,24-Nov-22,1442,INE470A01017
3PLAND,EQ,16.6,17.35,16.55,17.2,17.25,16.85,1362,23285.25,24-Nov-22,45,INE105C01023
4THDIM,EQ,87.95,90.25,86.95,89.35,89.9,88.5,7448,664557.2,24-Nov-22,81,INE382T01022
522GS2025,GS,97.35,97.35,97.35,97.35,97.35,97.35,400,38940,24-Nov-22,2,IN0020200112
574GS2026,GS,95.5,95.5,95.5,95.5,95.5,97.8,1000,95500,24-Nov-22,1,IN0020210186
577GS2030,GS,92.35,92.35,92.32,92.32,92.32,91,500,46172,24-Nov-22,2,IN0020200153
5PAISA,EQ,307.35,311.95,305,306.6,307.75,307.5,17948,5513201.6,24-Nov-22,1377,INE618L01018
619GS2034,GS,91.9,91.9,91.9,91.9,91.9,91.9,100,9190,24-Nov-22,1,IN0020200096
63MOONS,EQ,142.5,146.95,142.2,143.05,143.35,142.15,39471,5709592.4,24-Nov-22,1555,INE111B01023
654GS2032,GS,96.35,96.35,96.35,96.35,96.35,98.1,100,9635,24-Nov-22,1,IN0020210244
667GS2035,GS,97.1,97.1,97.1,97.1,97.1,97.1,1,97.1,24-Nov-22,1,IN0020210152
667GS2050,GS,93.02,97.69,93.01,97.69,97.69,96.5,1501,139720.24,24-Nov-22,17,IN0020200252
669GS2024,GS,102,102,102,102,102,102,600,61200,24-Nov-22,2,IN0020220052
695GS2061,GS,97,97.2,96.01,96.1,96.1,95,3475,337024.67,24-Nov-22,10,IN0020210202
695PN31,SG,83,83,83,83,83,81.47,100,8300,24-Nov-22,1,IN2820210028
699GS2051,GS,98,98,96.26,96.91,96.91,98,7715,750265.26,24-Nov-22,13,IN0020210194
710GS2029,GS,100.77,100.77,99.9,99.9,99.9,100.76,2500,250785,24-Nov-22,3,IN0020220011
719GS2060,GS,100.4,100.4,97.5,97.5,97.5,98.5,301,29350.4,24-Nov-22,2,IN0020200039
726GS2032,GS,101.65,102.45,101.65,102.35,102.35,102,16338,1672897.7,24-Nov-22,4,IN0020220060
727GS2026,GS,103,103,103,103,103,102.25,1000,103000,24-Nov-22,2,IN0020190016
738GS2027,GS,104.6,104.6,104.35,104.35,104.35,104.3,200,20895,24-Nov-22,2,IN0020220037
74GS2062,GS,101.35,101.35,100.55,100.85,100.85,101.74,1001,100877.5,24-Nov-22,6,IN0020220094
754GS2036,GS,101.98,101.98,101.45,101.84,101.9,101.97,62017,6302621.2,24-Nov-22,75,IN0020220029
768GS2023,GS,103.94,103.94,103.94,103.94,103.94,104.1,250000,25985000,24-Nov-22,3,IN0020150010
91D020223,TB,98.3,98.3,98.3,98.3,98.3,98.3,400,39320,24-Nov-22,3,IN002022X312
91D160223,TB,98.3,98.3,98.1,98.2,98.2,98.1,500,49100,24-Nov-22,5,IN002022X338
A2ZINFRA,EQ,10.6,10.7,10.3,10.4,10.3,10.4,118574,1236260.85,24-Nov-22,360,INE619I01012
AAKASH,EQ,8.25,8.35,7.7,7.7,7.7,8.1,1159986,8984269.6,24-Nov-22,1532,INE087Z01024
AAREYDRUGS,EQ,36.5,36.95,36,36.2,36.1,35.9,15995,582233.4,24-Nov-22,189,INE198H01019
AARON,BE,158.3,160,153.55,158.35,160,158.3,2555,405388,24-Nov-22,89,INE721Z01010
AARTIDRUGS,EQ,465.9,466.4,459.55,461,460.45,463.95,48593,22501686.45,24-Nov-22,2050,INE767A01016
AARTIIND,EQ,670.55,680.55,668,672.45,672.5,669.35,1251198,843837527.7,24-Nov-22,22825,INE769A01020
AARTISURF,EQ,699,717,698,701.15,705,699,5942,4189626.9,24-Nov-22,886,INE09EO01013
AARVEEDEN,EQ,25.25,25.65,24,24.15,24.15,24.55,13317,327302,24-Nov-22,138,INE273D01019
AARVI,EQ,155.8,165.35,154.95,163.05,163,150.35,107342,17375778.75,24-Nov-22,2811,INE754X01016
AAVAS,EQ,1931.55,1962.45,1916.5,1932.75,1929.5,1921.9,66567,129398682.8,24-Nov-22,10591,INE216P01012
ABAN,EQ,46.3,47.8,46.3,46.85,46.5,46.75,101888,4786741.15,24-Nov-22,1626,INE421A01028
ABB,EQ,3089,3115.5,3043.05,3059.45,3068,3082.95,318799,978629045.4,24-Nov-22,39186,INE117A01022
ABBOTINDIA,EQ,19600,19770.05,19502.55,19730.8,19750,19592.5,8493,167077592.4,24-Nov-22,3450,INE358A01014
ABCAPITAL,EQ,126.85,127.5,125.2,125.7,125.4,126.35,1459942,184292247.4,24-Nov-22,9899,INE674K01013
ABCOTS,SM,45.55,45.55,45.55,45.55,45.55,45.55,4000,182200,24-Nov-22,1,INE08PH01015
ABFRL,EQ,309.5,310.65,306.3,309.35,309.05,311.1,1341395,413740428,24-Nov-22,19131,INE647O01011
ABMINTLLTD,BE,67,67,65,67,67,67,537,35959,24-Nov-22,11,INE251C01025
ABSLAMC,EQ,421,422.5,418,420.95,420.65,421.6,123495,51968280.45,24-Nov-22,2022,INE404A01024
ABSLBANETF,EQ,44.27,44.27,42.32,42.42,42.39,42.31,4597,194991.77,24-Nov-22,147,INF209KB17D5
ABSLNN50ET,EQ,44.45,44.45,43.3,43.72,43.55,43.44,465,20295.14,24-Nov-22,39,INF209KB16D7
ACC,EQ,2458,2493.95,2440.05,2460.85,2457.5,2456.75,290733,718419793.8,24-Nov-22,17854,INE012A01025
ACCELYA,EQ,1549.95,1565.95,1540,1549,1560,1537.05,25940,40314654.9,24-Nov-22,3620,INE793A01012
ACCORD,SM,33.5,33.5,33.5,33.5,33.5,32,2000,67000,24-Nov-22,1,INE113X01015
ACCURACY,EQ,188.9,188.9,176,177.2,177.15,189.75,29231,5300136.65,24-Nov-22,1207,INE648Z01015
ACE,EQ,312.2,317.6,309.15,315.55,315.8,311,323745,101474471.2,24-Nov-22,7884,INE731H01025
ACEINTEG,EQ,74.2,74.2,67.2,67.2,67.2,70.7,60943,4404743.2,24-Nov-22,823,INE543V01017
ACI,EQ,460.8,478,450,454.85,456,458.15,4464605,2055101912,24-Nov-22,106875,INE128X01021
ADANIENT,EQ,4001.85,4056,3988,4034,4034.9,4001.85,1705043,6874117537,24-Nov-22,61621,INE423A01024
ADANIGREEN,EQ,2013.35,2020.45,1980,1986.1,1983.95,2003.3,629553,1254903984,24-Nov-22,41766,INE364U01010
ADANIPORTS,EQ,871.6,885.75,870.5,882.45,881.25,871.6,5466001,4810502883,24-Nov-22,69130,INE742F01042
ADANIPOWER,BE,332,335,325,328.5,329,331.2,1318384,432698235.4,24-Nov-22,34668,INE814H01011
ADANITRANS,EQ,3018.1,3031.95,2851.25,2875.15,2869,3018.7,608750,1776014090,24-Nov-22,38447,INE931S01010
ADFFOODS,EQ,719.2,780,714.45,751.95,751,714.4,100162,76484228.85,24-Nov-22,5219,INE982B01019
ADL,BE,61.5,61.9,59,59,59,59.9,406,24244.05,24-Nov-22,23,INE0CHO01012
ADORWELD,EQ,860,869.95,840.7,844.5,847.9,864.2,7449,6388387,24-Nov-22,1056,INE045A01017
ADROITINFO,EQ,19.8,20.45,18.85,19.15,19.3,19.8,45410,875741.6,24-Nov-22,297,INE737B01033
ADSL,EQ,106.9,107.75,102,103.35,103.3,105.8,113566,11906889.75,24-Nov-22,2371,INE102I01027
ADVANIHOTR,EQ,78.8,80.3,78.3,78.45,78.5,79.35,22079,1743836.45,24-Nov-22,480,INE199C01026
ADVENZYMES,EQ,272.9,275.5,271.45,273.05,272.7,272.8,30596,8358595.8,24-Nov-22,2155,INE837H01020
AEGISCHEM,EQ,320.05,327.9,317.05,319,318.2,318.65,319361,102701923.7,24-Nov-22,10557,INE208C01025
AETHER,EQ,927,949,916.3,921.15,924.5,921.2,92795,86329088.25,24-Nov-22,5263,INE0BWX01014
AFFLE,EQ,1264.65,1272.4,1230,1234.9,1235,1260.35,113991,142168604.7,24-Nov-22,10239,INE00WC01027
AGARIND,EQ,638.3,639.85,625.8,629.65,626.65,638.5,28123,17850653.3,24-Nov-22,3244,INE204E01012
AGI,EQ,287.75,295.3,280.5,285.6,286,286.95,162886,46910850.2,24-Nov-22,6829,INE415A01038
AGNI,SM,24.6,25.8,24.6,25.8,25.8,24.6,60000,1527500,24-Nov-22,6,INE0LF301013
AGRITECH,EQ,93.1,96.55,93.05,96.15,96.35,93.55,3374,322005.2,24-Nov-22,253,INE449G01018
AGROPHOS,EQ,38.85,38.85,37.1,37.35,37.25,37.9,41287,1556946.5,24-Nov-22,434,INE740V01019
AGSTRA,EQ,74.85,75.45,74.15,74.4,74.45,74.7,112457,8387762.9,24-Nov-22,1659,INE583L01014
AHLADA,BE,102,103.5,99,103,103,103.5,7273,729441.65,24-Nov-22,73,INE00PV01013
AHLEAST,BE,113.55,116.45,109.15,111.1,112.05,113.55,12962,1463130.85,24-Nov-22,169,INE926K01017
